Unique_Id,Id,ActivityDate,DayOfWeek,TotalSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,TotalMinutesWorn,Calories,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
15039603664/30/2016,1503960366,4/30/2016,Sat,"14,673",9.25,3.56,1.42,4.27,0.00,52,34,217,712,1015,"1,947",1,404,425
15039603665/1/2016,1503960366,5/1/2016,Sun,"10,602",6.81,2.29,1.60,2.92,0.00,33,35,246,730,1044,"1,820",1,369,396
15039603665/2/2016,1503960366,5/2/2016,Mon,"14,727",9.71,3.21,0.57,5.92,0.00,41,15,277,798,1131,"2,004",1,277,309
15039603665/3/2016,1503960366,5/3/2016,Tue,"15,103",9.66,3.73,1.05,4.88,0.00,50,24,254,816,1144,"1,990",1,273,296
15039603665/4/2016,1503960366,5/4/2016,Wed,"11,100",7.15,2.46,0.87,3.82,0.00,36,22,203,1179,1440,"1,819",0,0,0
15039603665/5/2016,1503960366,5/5/2016,Thu,"14,070",8.90,2.92,1.08,4.88,0.00,45,24,250,857,1176,"1,959",1,247,264
15039603665/6/2016,1503960366,5/6/2016,Fri,"12,159",8.03,1.97,0.25,5.81,0.00,24,6,289,754,1073,"1,896",1,334,367
15039603665/7/2016,1503960366,5/7/2016,Sat,"11,992",7.71,2.46,2.12,3.13,0.00,37,46,175,833,1091,"1,821",1,331,349
15039603665/8/2016,1503960366,5/8/2016,Sun,"10,060",6.58,3.53,0.32,2.73,0.00,44,8,203,574,829,"1,740",1,594,611
15039603665/9/2016,1503960366,5/9/2016,Mon,"12,022",7.72,3.45,0.53,3.74,0.00,46,11,206,835,1098,"1,819",1,338,342
15039603665/10/2016,1503960366,5/10/2016,Tue,"12,207",7.77,3.35,1.16,3.26,0.00,46,31,214,746,1037,"1,859",1,383,403
15039603665/11/2016,1503960366,5/11/2016,Wed,"12,770",8.13,2.56,1.01,4.55,0.00,36,23,251,669,979,"1,783",1,285,306
16245800814/12/2016,1624580081,4/12/2016,Tue,"8,163",5.31,0.00,0.00,5.31,0.00,0,0,146,1294,1440,"1,432",0,0,0
16245800814/13/2016,1624580081,4/13/2016,Wed,"7,007",4.55,0.00,0.00,4.55,0.00,0,0,148,1292,1440,"1,411",0,0,0
16245800814/14/2016,1624580081,4/14/2016,Thu,"9,107",5.92,0.00,0.00,5.91,0.01,0,0,236,1204,1440,"1,572",0,0,0
16245800814/15/2016,1624580081,4/15/2016,Fri,"1,510",0.98,0.00,0.00,0.97,0.00,0,0,96,1344,1440,"1,344",0,0,0
16245800814/16/2016,1624580081,4/16/2016,Sat,"5,370",3.49,0.00,0.00,3.49,0.00,0,0,176,1264,1440,"1,463",0,0,0
16245800814/17/2016,1624580081,4/17/2016,Sun,"6,175",4.06,1.03,1.52,1.49,0.01,15,22,127,1276,1440,"1,554",0,0,0
16245800814/18/2016,1624580081,4/18/2016,Mon,"10,536",7.41,2.15,0.62,4.62,0.01,17,7,202,1214,1440,"1,604",0,0,0
16245800814/19/2016,1624580081,4/19/2016,Tue,"2,916",1.90,0.00,0.00,1.90,0.00,0,0,141,1299,1440,"1,435",0,0,0
16245800814/20/2016,1624580081,4/20/2016,Wed,"4,974",3.23,0.00,0.00,3.23,0.00,0,0,151,1289,1440,"1,446",0,0,0
16245800814/21/2016,1624580081,4/21/2016,Thu,"6,349",4.13,0.00,0.00,4.11,0.02,0,0,186,1254,1440,"1,467",0,0,0
16245800814/22/2016,1624580081,4/22/2016,Fri,"4,026",2.62,0.00,0.00,2.60,0.00,0,0,199,1241,1440,"1,470",0,0,0
16245800814/23/2016,1624580081,4/23/2016,Sat,"8,538",5.55,0.00,0.00,5.54,0.01,0,0,227,1213,1440,"1,562",0,0,0
16245800814/24/2016,1624580081,4/24/2016,Sun,"6,076",3.95,1.15,0.91,1.89,0.00,16,18,185,1221,1440,"1,617",0,0,0
16245800814/25/2016,1624580081,4/25/2016,Mon,"6,497",4.22,0.00,0.00,4.20,0.02,0,0,202,1238,1440,"1,492",0,0,0
16245800814/26/2016,1624580081,4/26/2016,Tue,"2,826",1.84,0.00,0.00,1.83,0.01,0,0,140,1300,1440,"1,402",0,0,0
16245800814/27/2016,1624580081,4/27/2016,Wed,"8,367",5.44,1.11,1.87,2.46,0.00,17,36,154,1233,1440,"1,670",0,0,0
16245800814/28/2016,1624580081,4/28/2016,Thu,"2,759",1.79,0.00,0.20,1.60,0.00,0,5,115,1320,1440,"1,401",0,0,0
16245800814/29/2016,1624580081,4/29/2016,Fri,"2,390",1.55,0.00,0.00,1.55,0.00,0,0,150,1290,1440,"1,404",0,0,0
16245800814/30/2016,1624580081,4/30/2016,Sat,"6,474",4.30,0.90,1.28,2.12,0.01,11,23,224,1182,1440,"1,655",0,0,0
16245800815/1/2016,1624580081,5/1/2016,Sun,"36,019",28.03,21.92,4.19,1.91,0.02,186,63,171,1020,1440,"2,690",0,0,0
16245800815/2/2016,1624580081,5/2/2016,Mon,"7,155",4.93,0.86,0.59,3.47,0.00,7,6,166,1261,1440,"1,497",0,0,0
16245800815/3/2016,1624580081,5/3/2016,Tue,"2,100",1.37,0.00,0.00,1.34,0.02,0,0,96,1344,1440,"1,334",0,0,0
16245800815/4/2016,1624580081,5/4/2016,Wed,"2,193",1.43,0.00,0.00,1.42,0.00,0,0,118,1322,1440,"1,368",0,0,0
16245800815/5/2016,1624580081,5/5/2016,Thu,"2,470",1.61,0.00,0.00,1.58,0.02,0,0,117,1323,1440,"1,370",0,0,0
16245800815/6/2016,1624580081,5/6/2016,Fri,"1,727",1.12,0.00,0.00,1.12,0.01,0,0,102,1338,1440,"1,341",0,0,0
16245800815/7/2016,1624580081,5/7/2016,Sat,"2,104",1.37,0.00,0.00,1.37,0.00,0,0,182,1258,1440,"1,474",0,0,0
16245800815/8/2016,1624580081,5/8/2016,Sun,"3,427",2.23,0.00,0.00,2.22,0.00,0,0,152,1288,1440,"1,427",0,0,0
16245800815/9/2016,1624580081,5/9/2016,Mon,"1,732",1.13,0.00,0.00,1.13,0.00,0,0,91,1349,1440,"1,328",0,0,0
16245800815/10/2016,1624580081,5/10/2016,Tue,"2,969",1.93,0.00,0.00,1.92,0.01,0,0,139,1301,1440,"1,393",0,0,0
16245800815/11/2016,1624580081,5/11/2016,Wed,"3,134",2.04,0.00,0.00,2.04,0.00,0,0,112,1328,1440,"1,359",0,0,0
16245800815/12/2016,1624580081,5/12/2016,Thu,"2,971",1.93,0.00,0.00,1.92,0.01,0,0,107,890,997,"1,002",0,0,0
16444300814/12/2016,1644430081,4/12/2016,Tue,"10,694",7.77,0.14,2.30,5.33,0.00,2,51,256,1131,1440,"3,199",0,0,0
16444300814/13/2016,1644430081,4/13/2016,Wed,"8,001",5.82,2.28,0.90,2.64,0.00,30,16,135,1259,1440,"2,902",0,0,0
16444300814/14/2016,1644430081,4/14/2016,Thu,"11,037",8.02,0.36,2.56,5.10,0.00,5,58,252,1125,1440,"3,226",0,0,0
16444300814/15/2016,1644430081,4/15/2016,Fri,"5,263",3.83,0.22,0.15,3.45,0.00,3,4,170,1263,1440,"2,750",0,0,0
16444300814/16/2016,1644430081,4/16/2016,Sat,"15,300",11.12,4.10,1.88,5.09,0.00,51,42,212,1135,1440,"3,493",0,0,0
16444300814/17/2016,1644430081,4/17/2016,Sun,"8,757",6.37,2.25,0.57,3.55,0.00,29,13,186,1212,1440,"3,011",0,0,0
16444300814/18/2016,1644430081,4/18/2016,Mon,"7,132",5.19,1.07,1.67,2.45,0.00,15,33,121,1271,1440,"2,806",0,0,0
16444300814/19/2016,1644430081,4/19/2016,Tue,"11,256",8.18,0.36,2.53,5.30,0.00,5,58,278,1099,1440,"3,300",0,0,0
16444300814/20/2016,1644430081,4/20/2016,Wed,"2,436",1.77,0.00,0.00,1.76,0.01,0,0,125,1315,1440,"2,430",0,0,0
16444300814/21/2016,1644430081,4/21/2016,Thu,"1,223",0.89,0.00,0.00,0.88,0.01,0,0,38,1402,1440,"2,140",0,0,0
16444300814/22/2016,1644430081,4/22/2016,Fri,"3,673",2.67,0.00,0.00,2.66,0.01,0,0,86,1354,1440,"2,344",0,0,0
16444300814/23/2016,1644430081,4/23/2016,Sat,"6,637",4.83,0.00,0.58,4.25,0.00,0,15,160,1265,1440,"2,677",0,0,0
16444300814/24/2016,1644430081,4/24/2016,Sun,"3,321",2.41,0.00,0.00,2.41,0.00,0,0,89,1351,1440,"2,413",0,0,0
16444300814/25/2016,1644430081,4/25/2016,Mon,"3,580",2.60,0.59,0.06,1.95,0.00,8,1,94,1337,1440,"2,497",0,0,0
16444300814/26/2016,1644430081,4/26/2016,Tue,"9,919",7.21,0.80,1.72,4.69,0.00,11,41,223,1165,1440,"3,123",0,0,0
16444300814/27/2016,1644430081,4/27/2016,Wed,"3,032",2.20,0.00,0.00,2.20,0.00,0,0,118,1322,1440,"2,489",0,0,0
16444300814/28/2016,1644430081,4/28/2016,Thu,"9,405",6.84,0.20,2.32,4.31,0.00,3,53,227,1157,1440,"3,108",0,0,0
16444300814/29/2016,1644430081,4/29/2016,Fri,"3,176",2.31,0.00,0.00,2.31,0.00,0,0,120,1193,1313,"2,498",1,119,127
16444300814/30/2016,1644430081,4/30/2016,Sat,"18,213",13.24,0.63,3.14,9.46,0.00,9,71,402,816,1298,"3,846",1,124,142
16444300815/1/2016,1644430081,5/1/2016,Sun,"6,132",4.46,0.24,0.99,3.23,0.00,3,24,146,908,1081,"2,696",0,0,0
16444300815/2/2016,1644430081,5/2/2016,Mon,"3,758",2.73,0.07,0.31,2.35,0.00,1,7,148,682,838,"2,580",1,796,961
16444300815/3/2016,1644430081,5/3/2016,Tue,"12,850",9.34,0.72,4.09,4.54,0.00,10,94,221,1115,1440,"3,324",0,0,0
16444300815/4/2016,1644430081,5/4/2016,Wed,"2,309",1.68,0.00,0.00,1.66,0.02,0,0,52,1388,1440,"2,222",0,0,0
16444300815/5/2016,1644430081,5/5/2016,Thu,"4,363",3.19,0.52,0.54,2.13,0.01,6,12,81,1341,1440,"2,463",0,0,0
16444300815/6/2016,1644430081,5/6/2016,Fri,"9,787",7.12,0.82,0.27,6.01,0.02,11,6,369,1054,1440,"3,328",0,0,0
16444300815/7/2016,1644430081,5/7/2016,Sat,"13,372",9.72,3.26,0.79,5.67,0.01,41,17,243,1139,1440,"3,404",0,0,0
16444300815/8/2016,1644430081,5/8/2016,Sun,"6,724",4.89,0.00,0.00,4.88,0.00,0,0,295,991,1286,"2,987",1,137,154
16444300815/9/2016,1644430081,5/9/2016,Mon,"6,643",4.83,2.39,0.35,2.09,0.01,32,6,303,1099,1440,"3,008",0,0,0
16444300815/10/2016,1644430081,5/10/2016,Tue,"9,167",6.66,0.88,0.81,4.97,0.01,12,19,155,1254,1440,"2,799",0,0,0
16444300815/11/2016,1644430081,5/11/2016,Wed,"1,329",0.97,0.00,0.00,0.95,0.01,0,0,49,713,762,"1,276",0,0,0
18445050724/12/2016,1844505072,4/12/2016,Tue,"6,697",4.43,0.00,0.00,4.43,0.00,0,0,339,1101,1440,"2,030",0,0,0
18445050724/13/2016,1844505072,4/13/2016,Wed,"4,929",3.26,0.00,0.00,3.26,0.00,0,0,248,1192,1440,"1,860",0,0,0
18445050724/14/2016,1844505072,4/14/2016,Thu,"7,937",5.25,0.00,0.00,5.23,0.00,0,0,373,843,1216,"2,130",0,0,0
18445050724/15/2016,1844505072,4/15/2016,Fri,"3,844",2.54,0.00,0.00,2.54,0.00,0,0,176,527,703,"1,725",1,644,961
18445050724/16/2016,1844505072,4/16/2016,Sat,"3,414",2.26,0.00,0.00,2.26,0.00,0,0,147,1293,1440,"1,657",0,0,0
18445050724/17/2016,1844505072,4/17/2016,Sun,"4,525",2.99,0.14,0.26,2.59,0.00,2,8,199,1231,1440,"1,793",0,0,0
18445050724/18/2016,1844505072,4/18/2016,Mon,"4,597",3.04,0.00,0.48,2.56,0.00,0,12,217,1211,1440,"1,814",0,0,0
18445050724/19/2016,1844505072,4/19/2016,Tue,197,0.13,0.00,0.00,0.13,0.00,0,0,10,1430,1440,"1,366",0,0,0
18445050724/20/2016,1844505072,4/20/2016,Wed,8,0.01,0.00,0.00,0.01,0.00,0,0,1,1439,1440,"1,349",0,0,0
18445050724/21/2016,1844505072,4/21/2016,Thu,"8,054",5.32,0.12,0.52,4.68,0.00,2,13,308,1117,1440,"2,062",0,0,0
18445050724/22/2016,1844505072,4/22/2016,Fri,"5,372",3.55,0.00,0.00,3.55,0.00,0,0,220,1220,1440,"1,827",0,0,0
18445050724/23/2016,1844505072,4/23/2016,Sat,"3,570",2.36,0.00,0.00,2.36,0.00,0,0,139,1301,1440,"1,645",0,0,0
18445050724/27/2016,1844505072,4/27/2016,Wed,4,0.00,0.00,0.00,0.00,0.00,0,0,1,1439,1440,"1,348",0,0,0
18445050724/28/2016,1844505072,4/28/2016,Thu,"6,907",4.57,0.00,0.00,4.56,0.00,0,0,302,1138,1440,"1,992",0,0,0
18445050724/29/2016,1844505072,4/29/2016,Fri,"4,920",3.25,0.00,0.00,3.25,0.00,0,0,247,1082,1329,"1,856",0,0,0
18445050724/30/2016,1844505072,4/30/2016,Sat,"4,014",2.67,0.00,0.00,2.65,0.00,0,0,184,218,402,"1,763",1,722,961
18445050725/1/2016,1844505072,5/1/2016,Sun,"2,573",1.70,0.00,0.26,1.45,0.00,0,7,75,585,667,"1,541",1,590,961
18445050725/3/2016,1844505072,5/3/2016,Tue,"4,059",2.68,0.00,0.00,2.68,0.00,0,0,184,1256,1440,"1,742",0,0,0
18445050725/4/2016,1844505072,5/4/2016,Wed,"2,080",1.37,0.00,0.00,1.37,0.00,0,0,87,1353,1440,"1,549",0,0,0
18445050725/5/2016,1844505072,5/5/2016,Thu,"2,237",1.48,0.00,0.00,1.48,0.00,0,0,120,1320,1440,"1,589",0,0,0
18445050725/6/2016,1844505072,5/6/2016,Fri,44,0.03,0.00,0.00,0.03,0.00,0,0,2,1438,1440,"1,351",0,0,0
19279722794/12/2016,1927972279,4/12/2016,Tue,678,0.47,0.00,0.00,0.47,0.00,0,0,55,734,789,"2,220",3,750,775
19279722794/13/2016,1927972279,4/13/2016,Wed,356,0.25,0.00,0.00,0.25,0.00,0,0,32,986,1018,"2,151",1,398,422
19279722794/14/2016,1927972279,4/14/2016,Thu,"2,163",1.50,0.00,0.40,1.10,0.00,0,9,88,1292,1389,"2,383",0,0,0
19279722794/15/2016,1927972279,4/15/2016,Fri,980,0.68,0.00,0.00,0.68,0.00,0,0,51,941,992,"2,221",2,475,499
19279722794/18/2016,1927972279,4/18/2016,Mon,244,0.17,0.00,0.00,0.17,0.00,0,0,17,1423,1440,"2,111",0,0,0
19279722794/22/2016,1927972279,4/22/2016,Fri,149,0.10,0.00,0.00,0.10,0.00,0,0,10,1430,1440,"2,093",0,0,0
19279722794/23/2016,1927972279,4/23/2016,Sat,"2,945",2.04,0.00,0.00,2.04,0.00,0,0,145,1295,1440,"2,499",0,0,0
19279722794/24/2016,1927972279,4/24/2016,Sun,"2,090",1.45,0.07,0.24,1.14,0.00,1,6,75,1358,1440,"2,324",0,0,0
19279722794/25/2016,1927972279,4/25/2016,Mon,152,0.11,0.00,0.00,0.11,0.00,0,0,12,1303,1315,"2,100",0,0,0
19279722794/26/2016,1927972279,4/26/2016,Tue,"3,761",2.60,0.00,0.00,2.60,0.00,0,0,192,1058,1250,"2,638",1,296,315
19279722794/28/2016,1927972279,4/28/2016,Thu,"1,675",1.16,0.00,0.00,1.16,0.00,0,0,95,1167,1262,"2,351",1,166,178
19279722795/1/2016,1927972279,5/1/2016,Sun,"2,704",1.87,1.01,0.03,0.83,0.00,14,1,70,1355,1440,"2,411",0,0,0
19279722795/2/2016,1927972279,5/2/2016,Mon,"3,790",2.62,1.16,0.30,1.16,0.00,16,8,94,1322,1440,"2,505",0,0,0
19279722795/3/2016,1927972279,5/3/2016,Tue,"1,326",0.92,0.73,0.00,0.18,0.00,10,0,17,1413,1440,"2,195",0,0,0
19279722795/4/2016,1927972279,5/4/2016,Wed,"1,786",1.24,0.00,0.00,1.24,0.00,0,0,87,1353,1440,"2,338",0,0,0
19279722795/6/2016,1927972279,5/6/2016,Fri,"2,091",1.45,0.00,0.00,1.45,0.00,0,0,108,1332,1440,"2,383",0,0,0
19279722795/7/2016,1927972279,5/7/2016,Sat,"1,510",1.04,0.00,0.00,1.04,0.00,0,0,48,1392,1440,"2,229",0,0,0
20224844084/12/2016,2022484408,4/12/2016,Tue,"11,875",8.34,3.31,0.77,4.26,0.00,42,14,227,1157,1440,"2,390",0,0,0
20224844084/13/2016,2022484408,4/13/2016,Wed,"12,024",8.50,2.99,0.10,5.41,0.00,43,5,292,1100,1440,"2,601",0,0,0
20224844084/14/2016,2022484408,4/14/2016,Thu,"10,690",7.50,2.48,0.21,4.82,0.00,32,3,257,1148,1440,"2,312",0,0,0
20224844084/15/2016,2022484408,4/15/2016,Fri,"11,034",8.03,1.94,0.31,5.78,0.00,27,9,282,1122,1440,"2,525",0,0,0
20224844084/16/2016,2022484408,4/16/2016,Sat,"10,100",7.09,3.15,0.55,3.39,0.00,41,11,151,1237,1440,"2,177",0,0,0
20224844084/17/2016,2022484408,4/17/2016,Sun,"15,112",11.40,3.87,0.66,6.88,0.00,28,29,331,1052,1440,"2,782",0,0,0
20224844084/18/2016,2022484408,4/18/2016,Mon,"14,131",10.07,3.64,0.12,6.30,0.00,48,3,311,1078,1440,"2,770",0,0,0
20224844084/19/2016,2022484408,4/19/2016,Tue,"11,548",8.53,3.29,0.24,5.00,0.00,31,7,250,1152,1440,"2,489",0,0,0
20224844084/20/2016,2022484408,4/20/2016,Wed,"15,112",10.67,3.34,1.93,5.40,0.00,48,63,276,1053,1440,"2,897",0,0,0
20224844084/21/2016,2022484408,4/21/2016,Thu,"12,453",8.74,3.33,1.11,4.31,0.00,104,53,255,1028,1440,"3,158",0,0,0
20224844084/22/2016,2022484408,4/22/2016,Fri,"12,954",9.33,4.43,0.42,4.47,0.00,52,10,273,1105,1440,"2,638",0,0,0
20224844084/23/2016,2022484408,4/23/2016,Sat,"6,001",4.21,0.00,0.00,4.21,0.00,0,0,249,1191,1440,"2,069",0,0,0
20224844084/24/2016,2022484408,4/24/2016,Sun,"13,481",10.28,4.55,1.15,4.58,0.00,37,26,216,1161,1440,"2,529",0,0,0
20224844084/25/2016,2022484408,4/25/2016,Mon,"11,369",8.01,3.33,0.22,4.46,0.00,44,8,217,1171,1440,"2,470",0,0,0
20224844084/26/2016,2022484408,4/26/2016,Tue,"10,119",7.19,1.43,0.66,5.11,0.00,55,24,275,1086,1440,"2,793",0,0,0
20224844084/27/2016,2022484408,4/27/2016,Wed,"10,159",7.13,1.04,0.97,5.12,0.00,19,20,282,1119,1440,"2,463",0,0,0
20224844084/28/2016,2022484408,4/28/2016,Thu,"10,140",7.12,0.41,1.33,5.39,0.00,6,20,291,1123,1440,"2,296",0,0,0
20224844084/29/2016,2022484408,4/29/2016,Fri,"10,245",7.19,0.48,1.21,5.50,0.00,21,40,281,1098,1440,"2,611",0,0,0
20224844084/30/2016,2022484408,4/30/2016,Sat,"18,387",12.91,0.94,1.40,10.57,0.00,13,23,361,1043,1440,"2,732",0,0,0
20224844085/1/2016,2022484408,5/1/2016,Sun,"10,538",7.40,1.94,0.96,4.50,0.00,25,28,245,1142,1440,"2,380",0,0,0
20224844085/2/2016,2022484408,5/2/2016,Mon,"10,379",7.29,2.61,0.34,4.33,0.00,36,8,277,1119,1440,"2,473",0,0,0
20224844085/3/2016,2022484408,5/3/2016,Tue,"12,183",8.74,3.99,0.46,4.28,0.00,72,14,250,1104,1440,"2,752",0,0,0
20224844085/4/2016,2022484408,5/4/2016,Wed,"11,768",8.29,2.51,0.93,4.85,0.00,36,27,272,1105,1440,"2,649",0,0,0
20224844085/5/2016,2022484408,5/5/2016,Thu,"11,895",8.35,2.79,0.86,4.70,0.00,55,20,253,1112,1440,"2,609",0,0,0
20224844085/6/2016,2022484408,5/6/2016,Fri,"10,227",7.18,1.87,0.67,4.64,0.00,24,17,295,1104,1440,"2,498",0,0,0
20224844085/7/2016,2022484408,5/7/2016,Sat,"6,708",4.71,1.61,0.08,3.02,0.00,20,2,149,1269,1440,"1,995",0,0,0
20224844085/8/2016,2022484408,5/8/2016,Sun,"3,292",2.31,0.00,0.00,2.31,0.00,0,0,135,1305,1440,"1,848",0,0,0
20224844085/9/2016,2022484408,5/9/2016,Mon,"13,379",9.39,2.12,1.63,5.64,0.00,35,47,297,1061,1440,"2,709",0,0,0
20224844085/10/2016,2022484408,5/10/2016,Tue,"12,798",8.98,2.22,1.21,5.56,0.00,57,28,271,1084,1440,"2,797",0,0,0
20224844085/11/2016,2022484408,5/11/2016,Wed,"13,272",9.32,4.18,1.15,3.99,0.00,58,25,224,1133,1440,"2,544",0,0,0
20224844085/12/2016,2022484408,5/12/2016,Thu,"9,117",6.41,1.28,0.67,4.44,0.00,16,16,236,728,996,"1,853",0,0,0
20263520354/12/2016,2026352035,4/12/2016,Tue,"4,414",2.74,0.19,0.35,2.20,0.00,3,8,181,706,898,"1,459",1,503,546
20263520354/13/2016,2026352035,4/13/2016,Wed,"4,993",3.10,0.00,0.00,3.10,0.00,0,0,238,663,901,"1,521",1,531,565
20263520354/14/2016,2026352035,4/14/2016,Thu,"3,335",2.07,0.00,0.00,2.05,0.00,0,0,197,653,850,"1,431",1,545,568
20263520354/15/2016,2026352035,4/15/2016,Fri,"3,821",2.37,0.00,0.00,2.37,0.00,0,0,188,687,875,"1,444",1,523,573
20263520354/16/2016,2026352035,4/16/2016,Sat,"2,547",1.58,0.00,0.00,1.58,0.00,0,0,150,728,878,"1,373",1,524,567
20263520354/17/2016,2026352035,4/17/2016,Sun,838,0.52,0.00,0.00,0.52,0.00,0,0,60,1053,1113,"1,214",1,437,498
20263520354/18/2016,2026352035,4/18/2016,Mon,"3,325",2.06,0.00,0.00,2.06,0.00,0,0,182,1062,1244,"1,419",0,0,0
20263520354/19/2016,2026352035,4/19/2016,Tue,"2,424",1.50,0.00,0.00,1.50,0.00,0,0,141,785,926,"1,356",1,498,540
20263520354/20/2016,2026352035,4/20/2016,Wed,"7,222",4.48,0.00,0.00,4.48,0.00,0,0,327,623,950,"1,667",1,461,510
20263520354/21/2016,2026352035,4/21/2016,Thu,"2,467",1.53,0.00,0.00,1.53,0.00,0,0,153,749,902,"1,370",1,477,514
20263520354/22/2016,2026352035,4/22/2016,Fri,"2,915",1.81,0.00,0.00,1.81,0.00,0,0,162,712,874,"1,399",1,520,545
20263520354/23/2016,2026352035,4/23/2016,Sat,"12,357",7.71,0.00,0.00,7.71,0.00,0,0,432,458,890,"1,916",1,522,554
20263520354/24/2016,2026352035,4/24/2016,Sun,"3,490",2.16,0.00,0.00,2.16,0.00,0,0,164,704,868,"1,401",1,555,591
20263520354/25/2016,2026352035,4/25/2016,Mon,"6,017",3.73,0.00,0.00,3.73,0.00,0,0,260,821,1081,"1,576",1,506,531
20263520354/26/2016,2026352035,4/26/2016,Tue,"5,933",3.68,0.00,0.00,3.68,0.00,0,0,288,1018,1306,"1,595",0,0,0
20263520354/27/2016,2026352035,4/27/2016,Wed,"6,088",3.77,0.00,0.00,3.77,0.00,0,0,286,586,872,"1,593",1,508,545
20263520354/28/2016,2026352035,4/28/2016,Thu,"6,375",3.95,0.00,0.00,3.95,0.00,0,0,331,626,957,"1,649",1,513,545
20263520354/29/2016,2026352035,4/29/2016,Fri,"7,604",4.71,0.00,0.00,4.71,0.00,0,0,352,492,844,"1,692",1,490,510
20263520354/30/2016,2026352035,4/30/2016,Sat,"4,729",2.93,0.00,0.00,2.93,0.00,0,0,233,594,827,"1,506",1,573,607
20263520355/1/2016,2026352035,5/1/2016,Sun,"3,609",2.28,0.00,0.00,2.28,0.00,0,0,191,716,907,"1,447",1,527,546
20263520355/2/2016,2026352035,5/2/2016,Mon,"7,018",4.35,0.00,0.00,4.35,0.00,0,0,355,716,1071,"1,690",1,511,543
20263520355/3/2016,2026352035,5/3/2016,Tue,"5,992",3.72,0.00,0.00,3.72,0.00,0,0,304,981,1285,"1,604",0,0,0
20263520355/4/2016,2026352035,5/4/2016,Wed,"6,564",4.07,0.00,0.00,4.07,0.00,0,0,345,530,875,"1,658",1,538,560
20263520355/5/2016,2026352035,5/5/2016,Thu,"12,167",7.54,0.00,0.00,7.54,0.00,0,0,475,479,954,"1,926",1,468,485
20263520355/6/2016,2026352035,5/6/2016,Fri,"8,198",5.08,0.00,0.00,5.08,0.00,0,0,383,511,894,"1,736",1,524,548
20263520355/7/2016,2026352035,5/7/2016,Sat,"4,193",2.60,0.00,0.00,2.60,0.00,0,0,229,665,894,"1,491",1,511,521
